product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name,review_id,review_title,review_content,img_link,product_link
B09C6HXFC1,"duracell usb lightning apple certified (mfi) braided sync & charge cable for iphone, ipad and ipod. fast charging lightning cable, 3.9 feet (1.2m) - black",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹970,"₹1,799",46%,4.5,815.0,"Supports Ios Devices With Max Output Up To 2.4A|Up To 10, 000+ Bend And 10, 000+ Plugging And Unplugging Test Ensure This Cable A Longer Lifespan|Ensure Fast And Stable Data Transmission Up To 480 Mbps|2 Years Warranty|Compatible Designed To Work Flawlessly With Mfi Or Apple Devices, Iphone, Imac, Ipad Etc|1.2M Tangle Free Durable Tough Braiding Sync & Charge Cable","AFNYIBWKJLJQKY4BGK77ZOTVMORA,AFCTNNMP2LZLY5466YJ5AY3JE5ZA,AG3XBWOAL65DJSBHJ7LQ2K54HJKQ,AF2ZFMLJS4UBCGZO4FMJTEPP6MHA,AFBZMRHC4GXUU7KNAK4OBKORDF6Q,AHSIQL276K7X2UP72QOOOWNVRSXA,AF3D6X5NQWOBOEVVH2Y37N55AKZQ,AFWOTSQXCQJLZ653Y7ACEZADKGYQ","prasannavijayaraghavan g.,preet sikka,theeban raj,nishikant,gurpreet s.,manoj,sp,ashutosh","R12D1BZF9MU8TN,R32MNCWO5LGFCG,RZU3UK8OZKD6X,R3BSTKR3JUW6GY,R1ARVYPXS4XPB7,R1V6GDYE2IBX8O,R28EG2PXZTJL90,R2SQNU7OIOOLHT","Good cable for car,Good substitute for orginal,Better Value for money Product,Way better than the original,Absolutely amazing.,Namm hi kafi hai,Very good,As the names say Durable cell it a durable cable ;-)","I trust this product! Works well with car play!,Very good quality and charging is fine. As good as original,Build quality is awesome, best lightening cable ever seen, better than a official  lightening from If ur looking for a cable close your eyes and go for it 🔥 or you can buy a (Amazon basics) one I was using that for past 3 years that a bit a cheaper side, I recommend both these cables had better build quality and value for money,Gr8 product overall,Just loved it, very good charging speed.,,Good quality,it well packed, all sealed coveredthe wire looks of a very good qualityrecommended!!!!",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41TZJiPRRwL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/DURACELL-Lightning-Certified-braided-Devices/dp/B09C6HXFC1/ref=sr_1_22?qid=1672909124&s=electronics&sr=1-22
B09W5XR9RT,"duracell usb c to lightning apple certified (mfi) braided sync & charge cable for iphone, ipad and ipod. fast charging lightning cable, 3.9 feet (1.2m) - black",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹970,"₹1,999",51%,4.4,184.0,"1.2M Tangle Free durable tough braiding sync & charge cable|Supports iOS devices with max output up to 2.4A|Ensure fast and stable data transmission up to 480 Mbps|Up to 10,000+ bend and 10,000+ plugging and unplugging test ensure this cable a longer lifespan|Compatible designed to work flawlessly with MFi or apple devices, iPhone, iMac, iPad etc.|2 Years Warranty","AHZWJCVEIEI76H2VGMUSN5D735IQ,AH2DFUHFTG4CKQFVGZSB4JHXSAWA,AGYTSAUTXMOPROERNJPXNEB2XWNQ,AF5JWNCDVWTXOFCICR6IYNOEQENQ,AEEFM3W6RGC2KDYG5B6N7VQXR4QA,AGRT55DXEGF2EOL63HOKKKBB2KFA,AF6R7AMFHIWTMNFF6WPGFDOF7Z5A,AEGXNM3XGAHJGUJ7MIFPE7QFMJHA","amazon customer,govind gujarathi,vihari,shalem,tejas,radha krishanan,vasudeva govindraju,amazon customer","R1Y30KU04V3QF4,RK3DSUGKIZT8Z,R3BIG7J6V2JZTU,R1QI1HTJPGLS5O,R3SETXTOZ47CM4,R10SL1Q7F6CHBK,R1CBYX6RCGU739,R3PGNXSPA35NB3","Very good product.,Using as a spare cable in car,Sturdy, Durable, Fast Charging!,Good brand,It’s like original apple cable,One of the best wire ..,Super well build. Quality product worth the money,Good product","Fast charging.,Cable seems to be of good quality, not used much as I keep it as backup in my car.,It’s good, sturdy & durable!It supports fast charging!Only thing is it’s a little expensive!,Nice product,I am writing this review after 10 days usage of this product and I found it very durable and sturdy. It is also good for travelling where you have to keep it in the bags without any kind of box. I would recommend it to all.,Best wire type c to lighting connector go buy worth of money,Value for money,I am happy with product. Quality is good. Durable.",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/4177nw8okbL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Duracell-Lightning-Certified-Braided-Charging/dp/B09W5XR9RT/ref=sr_1_32?qid=1672909125&s=electronics&sr=1-32
B08QSC1XY8,"zoul usb c 60w fast charging 3a 6ft/2m long type c nylon braided data cable quick charger cable qc 3.0 for samsung galaxy m31s m30 s10 s9 s20 plus, note 10 9 8, a20e a40 a50 a70 (2m, grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹389,"₹1,099",65%,4.3,974.0,"{3A/QC 3.0 FAST CHARGING and DATA SYNC} : This USB C cable supports QC 3.0 Fast Charging and Data Syncing, max current 3.0A and transfer speed up to 480Mbps. Built-in 56K pull-up resistor and strong metal connections provides reliable conductivity and stability.|{Nylon Braided Tangle-free Design} : Premium Nylon Braided Type C Cable/Lead adds additional durability and tangle free with a tested lifespan of 10000+ bending test.|{SAFE & RELIABLE} : High-purity copper wire features anti-oxidation and anti-rust, which will keep long-lasting fast charging performance. This Type c cable fast charging has safety certification, you have no need to worry about this cable quality at all.|{What You Get} : Premium Nylon Braided Cable 6FT(2M) and our friendly customer service.","AHMKXORT3VNMB75C3EUBYMFYELFQ,AEKJRELVNMICYPOYTKMVF52YX2WQ,AHQPBXZSJ3XZILPJVXE4BN7ZL26A,AGELSEJKLWPVNPXQ7DGK63PEQF5A,AGGBXJFPXZVOJMMB6MMQOPLCJWGA,AEWA5TH6PMRZXMFY5MHCIU2MNFHA,AHPDFQLNLMNV5X4QNH6J7IUMREAQ,AGKQKPUOEC3LQR7GHBQYAHPTU4SA","pratyush pahuja,thiyagarajan,yeses,amazon customer,ajinkya,the scarred man,kuldeep gupta,abhishek thapar","R2S0AYWUV349HP,R35OW9CYQNAYHY,R3B3DDF1D5NULK,R3LZQDRMNS5CZO,RUGI31F4HDHOV,R24GFJRFT12S6S,R231AEG1IO02JM,RD31MI3UMAXP8","Great Cable, Charging Speeds Could Be Better,Good,A good cable.,One of the best type c cable,Works as intended.,A good buy. The extra length helps a lot.,Good,Ok","Not charging as fast as I'd have expected. Maybe something wrong with my unit. However, the cable overall is actually pretty decent. The material is great, it doesn't bend out of shape very easily, and looks (and feels) premium. The length is definitely a plus!,Good,A sturdy cable for mobile charging.,It's been 1 month that i am using this charging cable, works very well with S20 FE 5G. Thumbs up.,Braided cable is sturdy and built well. Long cable adds extra reach and is tangle free.,A good buy. The extra length helps a lot.,Good product,Ok",https://m.media-amazon.com/images/I/419QKVTxaSL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Charging-Braided-Charger-Samsung-Galaxy/dp/B08QSC1XY8/ref=sr_1_36?qid=1672909125&s=electronics&sr=1-36
B008FWZGSG,"samsung original type c to c cable - 3.28 feet (1 meter), white",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹599,₹599,0%,4.3,355.0,USB Type-C to Type-C cable with universal compatibility|1m Length & Reversible design|High Speed Data/Charging with USB 2.0,"AEQWVGESA7TDGK7KZ4DAJQGYH32A,AECGAMNNIMW5QOPOBXRYQAKMQGEA,AEA5X2W76STDCKVMFZ2WP7H7QFUA,AEWMPOUFVOFZ3WMJGHLOYQ7VGUJQ,AGLVW6SUWTW35HT5AYQR4CKA5IOA,AFSU7KWDY4KGQSFFCRXJ4IPJREAQ,AHS7DI2FACP3P3FNVH7263NLW2TA,AELNHGVCLQTWAEFDH244JJZZSVAQ","verified buyer,avishek majumdar,drowna roy,mahaboobali khan,aamir,prahladan k n,abdulkadir,raja","R2Z9ENI1BK4EAB,R2JTBG4GO7WPMG,R3GKCN4UH999M8,R3EGXE69JQH9AG,RCX9JVSY2ISRL,R1UVGU3RQMOG49,R2VQFSALVKRALF,R1M45F72399D3L","Good,Genuine product,Not first charge this cabil,,Nice cable but known durability,Got a used type c to c cable and the xable was damaged,The product is Genuine and Good,Abdul kadir,Good","Buy it,Received in good condition and is working properly,This price cabil not good,  and also short,I am using from 2 months and charging the phone in good way and it's really value for money.. i recommend this cable.,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/71CEI3G+BLL._SY88.jpg,The cable is perfect for 3A charging devices . Support super fast charging and can be used in vehicle chargers and adapters. sturdy and durable for daily use,Best cable i have ever used by amazon .worth it . Guys just take it,Good Quality.but over priced",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/11ICusapw3L._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Samsung-Original-Type-Cable-Meter/dp/B008FWZGSG/ref=sr_1_37?qid=1672909125&s=electronics&sr=1-37
B09RZS1NQT,"sounce 65w oneplus dash warp charge cable, 6.5a type-c to usb c pd data sync fast charging cable compatible with one plus 8t/ 9/ 9r/ 9 pro/ 9rt/ 10r/ nord & for all type c devices – red, 1 meter",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199,₹999,80%,4.0,576.0,"[USB C To USB C Cord 1M] With This 1 Meter USB C Fast Charger Cable, You Can Enjoy Convenient Charging for Your USB C Laptops, Tablets, And Smartphones. Perfect For Used on Sofas, Beds, In the Car, And Other Places.|[6.5 Amp USB C Cable High-Speed Data and Charging] Our Type C To Type C Cable Perfect Match with All 60W 45W 30W 18W 15W USB-C Power Adapters, Support Pd 3.0 And Qc 3.0 Fast Charge for Your Devices. Data Transfer Speed Is Up To 480Mbps Of USB 2.0. Note: Not Support Video Transfer.|[USB C To USB C Fast Charging Cable 6Ft] This Newest USB C To C Cable Support Warp Charge For One plus 8T, One plus 9/9 Pro, Too Fast Charge For MacBook Air 13 Inch 2020/2019/2018, For MacBook Pro 13/15/16 Inch 2020/2019/2018/2017/2016, For iPad Mini 2021, For iPad Pro 12.9/11 Inch 2020, For Google Pixel 6/6 Pro/5/4A/4 Xl/4/3A Xl/3A/3 Xl/3/2 Xl/2, For Samsung Galaxy S21 Fe 5G/S20 Fe 5G/Note 20 Ultra/Note 20/S20/S20+/S20 Ultra, Galaxy Z Flip 3, Galaxy Z Fold 3, And More Devices.|[One plus 8T Warp Charge Cable] Wrapped in Premium Silicon Coating, High-Quality Pure Copper Core, Prolong Bending Lifespan. Both USB C Connectors are Designed with An Advanced Emark Chip for Higher Efficiency & Safer Charging for Your One plus 8T. Output Delivery At 6.5A 10V Max, 65% Charging Capacity Only Takes 30 Minutes, Saving Your Valued Time.|[What You Get] USB C Super-Fast Charging Cable and One Year Worry-Free Replacement! If You Have Any Issues, Please Don’t Hesitate to Contact Customer Service.","AHUH7OYN3LAUATF5EGA575WCDI6A,AFQRX6TAM6CHKARXIXR25X4Y2K2A,AFIAYICSN46TZ373SYU2DLQH7MHQ,AE7O44O3ZCU6YCS56X4UBNSMN2DA,AG7KTA6KY5FALZELPIEMQBXP6TYA,AFW2YA3CWHADWVPZJRCSYJJ2O3YA,AGOGMKLERURWSCD4RIH53WPEVTWA,AHXAYZML25KY3YMOTME234UUGWXQ","anmol,vani,tejas jha,rishabh gupta,nik,harsha,thota srinivas,lokesh","RW294SCHB5QTK,R24AGC1O5RVWYI,R3NT7AA2V3I2FB,R2WGLZMFMUHY4G,R34ZQBSQFAGSQB,R26YQ2I8VG8AXE,R1M1FEBTZ4UHXZ,R1QV3OMDYZ42VP","Worth it!,Good one,Robust and effective.,Good,Good,It's a good product under 199 rupees It's neatly packed and has good quality built,Nice product,Worth the price","It does the job really well. No complaints regarding the charging power. At a price of Rs. 199/-, it is worth every buck. Although this cable is a bit shorter than the original one, but the original OnePlus cable is around Rs.900/-. So there is a huge price difference, and it does the same job as the original one.,Useful for “c” type charging. But not suitable with all adapters or USB points. Serves the purpose.,Sturdily built. Does its job well. Charged my Samsung Galaxy M51 quicker than the original cable. Hope it stays the same going ahead.,Liked the charging speed disliked the length. On iPads this is awesome but it’s is not 6 foot long so this the only point to think otherwise it is the best cable,Good,Everything is good including connectivity and stuff,Nice product..im using this for my car,This product is nice and worth the amount...I recommend it to anyone who are looking for this kind of cable",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41P2EdQI1ZL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Sounce-Type-C-Compatible-Smartphone-Charging/dp/B09RZS1NQT/ref=sr_1_41?qid=1672909125&s=electronics&sr=1-41
B09C6HWG18,"duracell type c to type c 5a (100w) braided sync & fast charging cable, 3.9 feet (1.2m). usb c to c cable, supports pd & qc 3.0 charging, 5 gbps data transmission – black",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹970,"₹1,999",51%,4.2,462.0,"Up To 10,000+ Bend And 10,000+ Plugging And Unplugging Test Ensure This Cable A Longer Lifespan|Ensure Fast And Stable Data Transmission Up To 5 Gbps|Compatible Designed To Work Flawlessly With All Usb-C Devices|2 Years Warranty|1.2M Tangle Free Durable Tough Braiding Sync & Charge Cable","AHRUMHBZ7IAQPLH4W5Y3A6HLQFVA,AGSJW5TCLJEKW4HAJAA4XRRNDAWQ,AFPK3KEV3ZSEJ7K6U6C3LERQ2E7A,AE43YOKQNGCH4SSBHBYFXDSPX6YA,AF6UDET5A7UZVF6X6PLTCNPAG2JA,AG4NQECOQ6XL3YXY2ARSILF65W6Q,AGQKQGF2M565PCZ2RPUYM7HIWH3Q,AF5PAF6QWH67HHLGCH6LBYQJPPUQ","koushal k jain,mathew jibin,jeevan,hemanth j.,rajiv krishna,mohammad thayub pasha,manohar malthane,pragati","R32JZC43P990BL,R3H7SAJ305WZL4,R37X6NTSTYLVQA,R2D7LP2EBIX3W8,R3C7TL9CMBKBQK,R3UI3Z6GBVW39Z,R331DK9D3GC0XJ,R2G3RRE7N560V7","Product is as expected,Cable has problem with samsung galaxy s8 ultra tablet,Quality and service is good.,It's perfect, definitely what i needed,Worth buying this cable,Just awesome 👌,fast charge, sturdy build quality, absolute value for money product, 2yrs warranty, just go for it,Good","Same type is available in half prize other make on Amazon,Cable is good and well built. it supports all sort of charging protocols. But Samsung galaxy s8 ultra seems to have some issues. It falls back to slower charging after a second or two of ultra fast charging when plugged in. It works fine with other devices just fine.,Quality of yhe cable is good. My cable is not working after 8 months. Duracell team is very responsive. They replaced the item immediately. Service is good. But only one problem is thickness of the pin must be improved.,The product is upto my expectations, worth the price, braiding is really good, i may not have the need to buy another cable again,Worth buying this cable, very durable,Its very tough material and very much durable too.,Super fast charging...long lasting due to sturdiness & strong build quality...absolute value for money product...plus 2yrs warranty...Sometime bit difficult to fold the cable due to its sturdy build but its OK looking at its edge...just go for it....a real value for money.,Very sturdy but over priced",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41v5BQZzfAL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/DURACELL-Type-C-braided-Charge-Cable/dp/B09C6HWG18/ref=sr_1_43?qid=1672909125&s=electronics&sr=1-43
B09L8DSSFH,7seven® compatible for samsung smart 4k ultra hd tv monitor remote control replacement of original samsung tv remote for led oled uhd qled and suitable for 6 7 8 series samsung tv with hot keys bn59-01259e,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹399,₹999,60%,3.6,493.0,"1. 7SEVEN Compatible remote suitable for all Original samasung TV / Monitor remote and have speciality with Hotkeys feature. It comes with NETFLIX, prime Video and ZEE5(www) Hotkeys. Incase ZEE5 app not available in your samsung smart tv then it will open default www(web broswer).|2. Equipped with various buttons and controls, this remote lets you adjust settings of your LED OLED QLED Curved & Plasma TV easily with the comfort of your sofa or bed.|3. This Remote does not have Bluetooth feature. No voice functions. This is a remote control to control TV mode & it does not control or support the set-top box mode.|4. No pairing required after load new AA Alkaline batteries, Samsung Remote suitable for smart tv's and monitor|5. This is a 7SEVEN compatible Product & Not Original Samsung Remote.","AH5G2FWQ6AJBXK2IDCA22BNQTT2A,AEEV73PQDYYMSQSW46LQMZ526YVQ,AHWB25RGISH5XJ2YQCR4J6FDBPOQ,AE2PYPC3OF2HEF4NCE63FBFFFOMQ,AHYUM6XUA4K6V4QEAPT5MLQQIDPA,AG6U2ZW7UGA562DK4W6NVANEMKDA,AFALQ6JKOEKVRVI3BZ2G5PJ63HQQ,AGAXJLX3K3I7WQKQA4Q4NT2IJ2WQ","monty,qais makani,rajat shuvra roy,amith pj,dheeraj agarwal,bragdishwaran.u,amazon customer,vsr","RVEWH0LAEO3NH,R3E42NTD6HXN1Q,R3IC0VLPIDBPTY,R1F0O9EAQGRSQS,R2B02VD2RPE2SE,RO2E58ZA8YH7E,R10AUMHF2MJRRU,R1BBQYI4QO69ID","Overall Good,Works well. Will comment on durability after using it for a few months.,Nice product,Channel button doesn't work,Compatible with every smart tv,functionality at a budget,Number keys not working,It's good to go ahead with this, for Samsung 6 series","Overall replacement of original samsung remote.its compatible easily with my samsung uhd tv.but there is no voice command in the remote.,Works well. Will comment on durability after using it for a few months.,It uses two AA battery.Seems durable.,Product quality of good. But the channel button doesn't work. I did return and replaced the same product, but it's th same result, channel button doesn't work,Good to go with this rather than purchasing a original one from samsung,we have an expensive samsung TV.TV is great but original remote started draining battery and we had to put in new battery every 5 days which was not ideal.replacing with original remote is a costly affair ( 4k ?)this is a good cheap replacement- has all the functionalities except voice (which we rarely use),Everything works fine except number keys which is very important to change channels , what a waste of money had to buy another remote,Like the design",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/21rBnbHkW9L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/7SEVENTM-Compatible-Replacement-Original-BN59-01259E/dp/B09L8DSSFH/ref=sr_1_52?qid=1672909126&s=electronics&sr=1-52
B0BFWGBX61,"ambrane unbreakable 3a fast charging braided type c cable    1.5 meter (rct15, blue) supports qc 2.0/3.0 charging",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199,₹349,43%,4.1,314.0,"Compatible with all Type C enabled devices, be it an android smartphone (Mi, Samsung, Oppo, Vivo, Realme, OnePlus, etc), tablet, laptop (Macbook, Chromebook, etc)|Supports Quick Charging (2.0/3.0)|Unbreakable – Made of special braided outer with rugged interior bindings, it is ultra-durable cable that won’t be affected by daily rough usage|Ideal Length – It has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cable","AF36YUJUEUU3SA42PFAULM2F5RYA,AESE26BMILSD6E4AVO3YM76G4UPA,AFFB6IUQ46CEIYZ2U7OAYVKAL5RQ,AGHGLXUVEHN4NFA3CCYIUFWBIC4A,AELBYFRFAGLMXQQJKVDUWO7QX2VQ,AHF4A3ZGP7G6JLXAAJ77O2QDJSEQ,AEGZCGGDNS4ZRNPG3CDULRVB5Z5A,AE4YGDAAZX7ZDDGP4BTONW72CMIA","vipan agnihotri,hitender singh,anuj chauhan,mufti abul hasan,amazon customer,mdr,jai kumar,rohan wakade","RQAF3Q7KCEGHP,R3CBLDFSRTKKYA,R3PZ3ENFIS7IJG,R2ACW4FTIVQJ77,R3K8YFINS1P9XN,R16G76XSWF9WTZ,R3O8ZTH4RRO02J,RXCDPPX5ZV2WX","Good product,Strong and powerful,Useful product.,Very nice 👌 👍 product,Good 👍🏻,Good,USB,Strong buid , study design , charging speed ☹️","quality is ok ok only,Well go for it good cable,Useful product in this price.,Very nice,Good,Charging speed supports up to 25V,Product quantity is excellent but very slow charging,Cable is absolutely good looking , strong , durable. But not support fast charging as I expected , I checked speed with stopwatch , I am using Realme phone , with my original realme 20w charger and original cable the time takes to charge 68% to 69% is 34 sec. But with this ambrane cable it takes 1 min 32 sec to charge from 69% to 70%.Little disappointed with charging Speed , overall product is goodHope this review help you guys !",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41rbKciLrcL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-RCT15-Supports/dp/B0BFWGBX61/ref=sr_1_59?qid=1672909126&s=electronics&sr=1-59
B0B4DT8MKT,"wecool unbreakable 3 in 1 charging cable with 3a speed, fast charging multi purpose cable 1.25 mtr long, type c cable, micro usb cable and cable for iphone, white",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹348,"₹1,499",77%,4.2,656.0,Fast Charging Cable that can be used to charge your smartphone or Tablet or Earbuds or speakers etc...|3 in 1 Fast charging Cable is the best solution for your Travel needs. Just carry a single charging cable that can charge all your electronic Gadgets|The Multi purpose charging cable has 3 charging ports that includes type c cable fast charging 3.0 and Micro usb and charging pin compatible for iphone|The Charging Cable has 12 months of Brand Warranty. Register in the brand website with in 10 days of purchase to avail the warranty. Wecool dot com|Convenient Length cable. The Car charging cable has 1.25 Meters length that is very convenient to use while you travel,"AGH3POHLPXABF3I4ASSGTRXAUPPA,AEHVZHMJQYG456XUPYSWK7PWAJAA,AFBPPGDHU5S2IR5WEPYWGR4ABK4Q,AGEYWCB2JWQR7C3RF2SEK26PTK2A,AGWXGUALH6VESAYTZGWBZBUDTWFA,AHCG74BCEDINDMRYYF2QPYY3OHJQ,AHHGEASO3BOC2ET23MDU64DKQ5OQ,AF7TKY6E2EO7NSSPHFYFGE4FJDOA","nisar,pralipta kumar sahoo,vimal kumar g s,amazon customer,amazon customer,amith kumar m,ekant sharma,k r s","R25WW5K08CGVXV,R1229K72SC8VW6,R3G7X6LSJFGFXP,R19IPICAE9A24Q,R1J0JL7TOG1YNE,R37NLAA34276Y9,R13G1K0IPVB3EA,R188FGJWORTDSC","Nice,Awesome,Quick not charger🤏,Expensive at this price,Multiple mobile can’t be charged at a time,THIS IS FAST CHARGING ON BOTH MY SAMSUNG PHONES AND IPHONE TOO. Go for it !!,Excellent quality!,CHARGING CABLE","Good,Got a nice product,Quick not charger🤏,Cable is very good and looks durable but the pins quality are not good, infact iPhone pin keep coming out even with small movement, You can drive and charge simultaneously. Type C is good and the other pin is very hard to insert but workable.,This not a fast charger and can’t be used for data transfer. Multiple mobile can’t be charged at a time,This works as expected. It is working for both my Samsung phones and the lightning cable also works perfectly..,I loved this product for my car. It's long and quite valuable for charging three mobiles together in one go.,GOOD PRODUCT.",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/313uqx3djjL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/WeCool-Unbreakable-Charging-Purpose-iPhone/dp/B0B4DT8MKT/ref=sr_1_64?qid=1672909126&s=electronics&sr=1-64
B09Q8HMKZX,"portronics konnect l 20w pd quick charge type-c to 8-pin usb mobile charging cable, 1.2m, tangle resistant, fast data sync(grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹263,₹699,62%,4.1,450.0,"[1.2 M LONG DURABLE CABLE] : The Konnect L is about 1.2 M long and this feature allows for maximum convenience of the user. Not only is the cable length ample it also is durably built which ensures that no matter how roughly its handled no harm is done to it!|[20 W PD QUICK CHARGE FOR 8 PIN USB] : The Konnect L cable for 8 pin USB is an efficient cable for Apple smartphones charging and is as powerful as its Apple counterparts. You can plug in your smartphone for lightning speed charging!|[TPE & NYLON BRAIDED CORD] : The cable has been designed for optimal results and keeping this in mind it has been built with TPE and has further been nylon braided to ensure longevity and safe upkeep.|[TANGLE RESISTANT] : Isn’t it frustrating when we are in a hurry to charge our devices, and while pulling out the charger find it all entangled up? This is why we came up with this feature that will not only make charging hassle free but also ensure the cable’s longevity.|[FAST DATA SYNC] : Sync data from two devices with accuracy and ultra speed. The cable allows zero glitches and ensures distortion free exchange of data. You can use the cable to transfer large amounts of data continuously from one device to another!","AF6SKHWKK53BMAI6UVJA5FJMLK3A,AHIWSTMUSIYZAZQAMOLMPJHR7NMA,AHYDC5KBSNP2LD5ZV5SXO3CQSCDQ,AGACLGW4IBQOHLA6UJBIUNGVBRMQ,AGFX4BFHOC6FXDFPD2O24RCD32NQ,AGMXX5UGO3VXFAN2HOVYOWQYTRYA,AGNGZAPY5HMB7OOQAXQ3MH5OLVSA,AHR4VQLVSWORK3A35U3QA6IOEEBA","thenmozhi,manish,brajesh jha,sushil kumar,prasanth,vishal mehra,lmcx,prashant parkhe","R1LG3XV2XYCQQB,RPVNHPEU1HG9F,R1MD4LW015PP00,R5RCZRA2XSJVU,R1TPVT7TXNNW2,R1GYI0Y69RU13,R3S5U7BJ1KTKAU,R3F02OAHFU646V","Iphone User,Overall good,Perfect price, perfect fit,Good,Worth,Perfect replacement for Apple cable,At this price it's a steal.,Good cable with decent price","Good braided cable. Long length. Quick charge. I m using XR. This cable value for money. But chager apple OEM. Portronics type c to lighting  cable worth.,It’s easy to carry and the build quality is quite ok charging speed to almost equal to original oneGiving this review after 1 month usage,Great fit connector, l shaped connectors are convenient and better than some higher priced products.,good,Best product at this price range go for it🔥🔥🔥 and the software shows product will be genuine 🔥 most recommended braided cable for  products,Wish apple made this product as it is easier to hold the phone while charging,Superb quality and supports good charging speeds. Type c to lightning 20w at this price (250Rs) is a steal deal. Nobody is giving this quality at this price,Good cable available at a decent price of Rs. 312.ProsGood design.L shaped connectors will help keeping phone and power bank together in bag or pocket without causing and damage to the charging pins.Does fast charging and compatible with all fast charging power adapters.",https://m.media-amazon.com/images/I/41x3iKbD-+L._SX342_SY445_.jpg,https://www.amazon.in/Portronics-Konnect-Charge-Charging-Resistant/dp/B09Q8HMKZX/ref=sr_1_74?qid=1672909128&s=electronics&sr=1-74
